player_id,player_display_name,position,team,week,def_tackles_solo,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumble_recovery_opp
00-0033579,Xavier Woods,FS,TEN,1,0,2,0,0,0.0,0,1,1,0,0
00-0033702,Younghoe Koo,K,ATL,1,1,0,0,0,0.0,0,0,0,0,0
00-0033783,Ahkello Witherspoon,CB,LAR,1,2,0,0,0,0.0,0,0,1,0,0
00-0033854,Dare Ogunbowale,RB,HOU,1,1,0,0,0,0.0,0,0,0,0,0
00-0033860,Davon Godchaux,DT,NO,1,1,2,0,0,0.0,0,0,0,0,0
00-0033868,Myles Garrett,DE,CLE,1,5,0,4,0,2.0,3,0,0,0,0
00-0033870,Solomon Thomas,DE,DAL,1,2,2,1,0,0.0,0,0,0,0,0
00-0033872,Jamal Adams,LB,LV,1,2,0,0,0,0.0,1,0,0,0,0
00-0033874,Marshon Lattimore,CB,WAS,1,1,2,0,0,0.0,0,0,2,0,0
00-0033875,Haason Reddick,OLB,TB,1,1,2,1,0,1.0,1,0,0,0,0
00-0033876,Derek Barnett,DE,HOU,1,0,1,0,0,0.0,0,0,0,0,0
00-0033877,Malik Hooker,FS,DAL,1,4,5,0,0,0.0,0,0,0,0,0
00-0033878,Adoree' Jackson,CB,PHI,1,5,2,0,0,0.0,0,0,1,0,0
00-0033886,T.J. Watt,OLB,PIT,1,1,2,2,0,0.0,0,0,1,0,0
00-0033890,Budda Baker,S,ARI,1,5,5,1,0,0.0,0,0,1,0,0
00-0033902,Tanoh Kpassagnon,DE,CHI,1,1,1,1,0,1.0,2,0,0,0,0
00-0033907,Dawuane Smoot,DE,JAX,1,1,1,1,0,1.0,1,0,0,0,0
00-0033914,Alex Anzalone,MLB,DET,1,1,3,0,0,0.0,0,0,0,0,0
00-0033928,Jourdan Lewis,CB,JAX,1,3,2,0,0,0.0,1,1,3,0,0
00-0033935,Trey Hendrickson,DE,CIN,1,3,0,1,0,1.0,3,0,0,0,0
